#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	dhcp
#open	2019-06-17-09-45-29
#fields	ts	uids	client_addr	server_addr	mac	host_name	client_fqdn	domain	requested_addr	assigned_addr	lease_time	client_message	server_message	msg_types	duration
#types	time	set[string]	addr	addr	string	string	string	string	addr	addr	interval	string	string	vector[string]	interval
1560736589.097836	CqFleh4FDtlTMzAGVj	-	-	ac:c1:ee:3a:4f:d7	virtual_sta\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00	-	-	-	-	-	-	-	DISCOVER	0.000000
1560736582.885760	COPu6R1hdxqhEp2iE9	211.83.98.64	-	30:b4:9e:cb:50:d0	maofeng-PC	-	-	-	-	-	-	-	INFORM,INFORM	3.004050
1560736588.333794	CqFleh4FDtlTMzAGVj	-	-	38:f9:d3:e6:04:90	qiaogongdeMBP	-	-	113.54.196.184	-	-	-	-	REQUEST	0.000000
1560736594.257756	CqFleh4FDtlTMzAGVj	-	-	b4:0b:44:bf:04:59	Smartisan-U2-Pro	-	-	113.54.206.115	-	-	-	-	DISCOVER,DISCOVER,REQUEST	2.188023
1560736590.045827	C0cXxG3fdHeaNksX5	113.54.220.127	-	30:b4:9e:79:ce:33	557-PC	-	-	-	-	-	-	-	INFORM,INFORM	3.000007
1560736593.193780	CqFleh4FDtlTMzAGVj	-	-	ec:d0:9f:b3:95:99	MI6-xiaomishouji	-	-	211.83.102.42	-	-	-	-	DISCOVER,REQUEST	0.023984
1560736595.685784	CqFleh4FDtlTMzAGVj	-	-	4c:d1:a1:ae:2d:54	HUAWEI_Mate_20_X-4e73a1b7	-	-	-	-	-	-	-	DISCOVER	0.000000
1560736592.525811	CqFleh4FDtlTMzAGVj	-	-	0c:8f:ff:56:46:70	Honor_9-c2766fe5cc97a62a	-	-	211.83.97.182	-	-	-	-	DISCOVER,REQUEST	0.039953
1560736600.221826	Ci4ftf4pvdjb2WlUuj	211.83.98.16	-	30:b4:9e:db:5e:77	sonne-PC	-	-	-	-	-	-	-	INFORM,INFORM	3.383963
1560736614.241805	CqFleh4FDtlTMzAGVj	-	-	f8:59:71:77:27:70	LAPTOP-EU592A92	LAPTOP-EU592A92	-	113.54.212.216	-	-	-	-	REQUEST	0.000000
1560736615.873770	Cczbv511xzAFcZpqv3	113.54.204.97	-	30:b4:9e:0f:a6:b1	WCS233-PC	-	-	-	-	-	-	-	INFORM,INFORM	2.980042
1560736610.813780	CqFleh4FDtlTMzAGVj	-	-	90:f0:52:8d:b0:e2	MEIZU-16s	-	-	211.83.101.19	-	-	-	-	DISCOVER,REQUEST	0.900035
1560736610.977846	CqFleh4FDtlTMzAGVj	-	-	48:3b:38:8d:5a:f9	virtual_sta\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00	-	-	113.54.213.39	-	-	-	-	DISCOVER,REQUEST	2.015946
1560736611.981842	CeFuYb4RHYgLN0MaFl	113.54.204.59	-	30:b4:9e:1f:10:ef	SCP_A0002	-	-	-	-	-	-	-	INFORM,INFORM	3.051947
1560736611.853782	CqFleh4FDtlTMzAGVj	-	-	94:d0:29:cb:13:11	android-137ab8e8483a719a	-	-	113.54.216.199	-	-	-	-	REQUEST	0.000000
1560736621.769782	CqFleh4FDtlTMzAGVj	-	-	e4:b2:fb:e5:16:6a	yangyandeiPhone	-	-	113.54.193.21	-	-	-	-	REQUEST	0.000000
1560736623.433816	CtD8fF2L9PUkkfcZy7	113.54.213.41	-	48:8a:d2:6a:e5:9b	VBOAFC9PAC1SVUP	-	-	-	-	-	-	-	INFORM,INFORM	2.856011
1560736627.817804	CqFleh4FDtlTMzAGVj	-	-	f4:06:16:29:1e:f9	DeepDarkFantasy	-	-	113.54.208.123	-	-	-	-	DISCOVER,REQUEST	1.023981
1560736624.029770	CqFleh4FDtlTMzAGVj	-	-	14:20:5e:ae:14:5f	virtual_sta\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00	-	-	113.54.205.39	-	-	-	-	DISCOVER,REQUEST	3.019981
1560736633.773837	CqFleh4FDtlTMzAGVj	-	-	1c:15:1f:50:02:56	virtual_sta\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00	-	-	113.54.219.140	-	-	-	-	DISCOVER,REQUEST	2.023917
1560736641.057844	CqFleh4FDtlTMzAGVj	-	-	ec:89:14:8a:31:8c	HUAWEI_P20_Pro-4c24fe2d62	-	-	211.83.96.181	-	-	-	-	DISCOVER,REQUEST	0.087997
1560736644.981775	CqFleh4FDtlTMzAGVj	-	-	90:f0:52:8d:b0:e2	virtual_sta\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00	-	-	211.83.101.19	-	-	-	-	DISCOVER,REQUEST	2.016065
1560736641.945813	CqFleh4FDtlTMzAGVj	-	-	48:3b:38:8d:5a:f9	virtual_sta\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00	-	-	113.54.213.39	-	-	-	-	DISCOVER,REQUEST	2.011981
1560736651.433807	CqFleh4FDtlTMzAGVj	-	-	84:ef:18:76:14:34	CIndian-PC	CIndian-PC	-	211.83.102.202	-	-	-	-	DISCOVER,REQUEST	0.000000
1560736657.469754	CEy4MZdUhz8K9kME9	211.83.98.83	-	50:2b:73:d9:78:cd	hyj-PC	-	-	-	-	-	-	-	INFORM,INFORM	3.007999
1560736646.425771	CqFleh4FDtlTMzAGVj	-	-	04:4f:4c:8f:f4:e6	HUAWEI_Mate_9-bf94876b019	-	-	211.83.107.204	-	-	-	-	DISCOVER,DISCOVER,REQUEST	10.032006
1560736654.505779	C69O0o4I2ePpZ4fJsk	211.83.102.202	-	84:ef:18:76:14:34	CIndian-PC	-	-	-	-	-	-	-	INFORM,INFORM	3.012057
1560736663.985755	CqFleh4FDtlTMzAGVj	-	-	48:3b:38:8d:5a:f9	virtual_sta\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00	-	-	113.54.213.39	-	-	-	-	DISCOVER,REQUEST	2.020050
1560736666.117847	CqFleh4FDtlTMzAGVj	-	-	64:a2:f9:70:cc:e6	OnePlus6	-	-	113.54.205.75	-	-	-	-	REQUEST	0.000000
1560736660.477753	CqFleh4FDtlTMzAGVj	-	-	04:4f:4c:8f:f4:e6	HUAWEI_Mate_9-bf94876b019	-	-	113.54.212.65	-	-	-	-	DISCOVER,REQUEST	0.020045
1560736664.009817	CqFleh4FDtlTMzAGVj	-	-	e4:9a:dc:ef:9f:02	iPhone	-	-	211.83.96.126	-	-	-	-	REQUEST	0.000000
1560736670.493769	CqFleh4FDtlTMzAGVj	-	-	14:20:5e:ae:14:5f	virtual_sta\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00	-	-	113.54.205.39	-	-	-	-	REQUEST	0.000000
1560736675.689783	CSpo4s2J4XnF3uoOfl	211.83.98.64	-	30:b4:9e:cb:50:d0	maofeng-PC	-	-	-	-	-	-	-	INFORM,INFORM	4.484050
1560736672.617798	CqFleh4FDtlTMzAGVj	-	-	d4:61:9d:4c:00:32	Erics-iPhone-7	-	-	211.83.102.237	-	-	-	-	REQUEST	0.000000
1560736661.713835	CqFleh4FDtlTMzAGVj	-	-	c0:f4:e6:5b:dd:70	HUAWEI_Mate_20-2820b98b5c	-	-	113.54.206.58	-	-	-	-	DISCOVER,DISCOVER,DISCOVER,REQUEST	15.015999
1560736680.569708	CqFleh4FDtlTMzAGVj	-	-	3c:cd:5d:47:34:9c	HUAWEI_P20-a83cd68faab31f	-	-	113.54.194.145	-	-	-	-	DISCOVER,REQUEST	5.036130
1560736681.133780	CqFleh4FDtlTMzAGVj	-	-	b4:8b:19:0c:ae:87	virtual_sta\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00	-	-	-	-	-	-	-	DISCOVER	0.000000
1560736688.201788	CqFleh4FDtlTMzAGVj	-	-	54:33:cb:8e:9a:a4	virtual_sta\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00	-	-	113.54.220.171	-	-	-	-	DISCOVER,REQUEST	2.020016
1560736684.157832	CqFleh4FDtlTMzAGVj	-	-	cc:08:8d:ba:92:89	virtual_sta\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00	-	-	113.54.223.169	-	-	-	-	DISCOVER,REQUEST	2.020001
1560736687.889830	CqFleh4FDtlTMzAGVj	-	-	ac:c1:ee:3a:4f:d7	virtual_sta\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00	-	-	-	-	-	-	-	DISCOVER	0.000000
1560736685.589771	CqFleh4FDtlTMzAGVj	-	-	3c:cd:5d:47:34:9c	virtual_sta\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00	-	-	-	-	-	-	-	DISCOVER	0.000000
1560736690.861754	CqFleh4FDtlTMzAGVj	-	-	ac:c1:ee:3a:4f:d7	MI5s-yangliangwei	-	-	211.83.100.154	-	-	-	-	DISCOVER,REQUEST	0.008078
1560736689.989850	CW8gGL1PTFPhq0DLvj	211.83.98.16	-	30:b4:9e:db:5e:77	sonne-PC	-	-	-	-	-	-	-	INFORM	0.000000
1560736702.477768	CqFleh4FDtlTMzAGVj	-	-	a4:ca:a0:ae:b0:a3	HUAWEI_Mate_9-ffddfcb5764	-	-	113.54.217.189	-	-	-	-	REQUEST,REQUEST	0.008037
1560736709.217767	CqFleh4FDtlTMzAGVj	-	-	e4:b2:fb:e5:16:6a	virtual_sta\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00	-	-	-	-	-	-	-	DISCOVER	0.000000
#close	2019-06-17-09-58-32
