#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	dhcp
#open	2019-06-17-09-45-29
#fields	ts	uids	client_addr	server_addr	mac	host_name	client_fqdn	domain	requested_addr	assigned_addr	lease_time	client_message	server_message	msg_types	duration
#types	time	set[string]	addr	addr	string	string	string	string	addr	addr	interval	string	string	vector[string]	interval
1560736160.149851	CqFleh4FDtlTMzAGVj	-	-	48:2c:a0:f5:b7:a3	RedmiNote7Pro-Redmi	-	-	113.54.199.124	-	-	-	-	DISCOVER,REQUEST	0.016004
1560736167.249802	CqFleh4FDtlTMzAGVj	-	-	20:ee:28:a5:f0:2c	virtual_sta\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00	-	-	211.83.101.50	-	-	-	-	DISCOVER,REQUEST	2.016039
1560736165.013766	CqFleh4FDtlTMzAGVj	-	-	bc:fe:d9:ee:a0:34	mysterisc	-	-	113.54.199.33	-	-	-	-	REQUEST	0.000000
1560736160.109835	CqFleh4FDtlTMzAGVj	-	-	bc:3d:85:fb:43:84	HUAWEI_Mate_10_Pro-976487	-	-	211.83.97.201	-	-	-	-	DISCOVER,REQUEST	0.067946
1560736178.157837	CqFleh4FDtlTMzAGVj	-	-	-	MIMAX-xiaomishouji	-	-	192.168.1.7	-	-	-	-	REQUEST	0.000000
1560736173.521816	CqFleh4FDtlTMzAGVj	-	-	e4:b2:fb:e5:16:6a	virtual_sta\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00	-	-	-	-	-	-	-	DISCOVER	0.000000
1560736170.157839	CqFleh4FDtlTMzAGVj	-	-	80:e6:50:12:5e:d0	miracleMBP	-	-	211.83.96.38	-	-	-	-	REQUEST	0.000000
1560736182.517817	CqFleh4FDtlTMzAGVj	-	-	14:bd:61:ac:cb:39	virtual_sta\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00	-	-	113.54.206.248	-	-	-	-	DISCOVER,REQUEST	2.011980
1560736181.681790	CqFleh4FDtlTMzAGVj	-	-	-	MIMAX-xiaomishouji	-	-	113.54.194.102	-	-	-	-	DISCOVER,REQUEST	0.036011
1560736192.525803	CqFleh4FDtlTMzAGVj	-	-	a4:50:46:e0:82:cb	virtual_sta\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00	-	-	-	-	-	-	-	DISCOVER	0.000000
1560736198.301810	CqFleh4FDtlTMzAGVj	-	-	a4:50:46:e0:82:cb	virtual_sta\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00	-	-	113.54.194.71	-	-	-	-	DISCOVER,REQUEST	3.027986
1560736207.889816	CqFleh4FDtlTMzAGVj	-	-	dc:44:b6:3f:bc:2b	Galaxy-C9-Pro	-	-	113.54.193.251	-	-	-	-	DISCOVER,REQUEST	0.779969
1560736213.729836	CqFleh4FDtlTMzAGVj	-	-	14:20:5e:59:aa:3a	tedious	-	-	113.54.197.132	-	-	-	-	REQUEST	0.000000
1560736215.873781	CqFleh4FDtlTMzAGVj	-	-	b8:09:8a:e0:f4:c8	tantao	-	-	113.54.194.239	-	-	-	-	REQUEST	0.000000
1560736218.757810	CqFleh4FDtlTMzAGVj	-	-	48:2c:a0:f5:b7:a3	RedmiNote7Pro-Redmi	-	-	113.54.199.124	-	-	-	-	DISCOVER,REQUEST	0.007977
1560736216.877803	CqFleh4FDtlTMzAGVj	-	-	1c:15:1f:50:02:56	Honor_8-69decf0555dec518	-	-	-	-	-	-	-	DISCOVER	0.000000
1560736235.361797	CqFleh4FDtlTMzAGVj	-	-	dc:56:e7:08:90:c4	yuukinaoiPadPro	-	-	113.54.218.1	-	-	-	-	DISCOVER,REQUEST	2.036004
1560736238.953845	CqFleh4FDtlTMzAGVj	-	-	-	MIMAX-xiaomishouji	-	-	113.54.194.102	-	-	-	-	REQUEST	0.000000
1560736237.869837	CqFleh4FDtlTMzAGVj	-	-	e4:9a:dc:62:11:15	virtual_sta\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00	-	-	211.83.98.182	-	-	-	-	DISCOVER,REQUEST	2.015932
